Date,Close
30-07-2021,295.8026386379389
02-08-2021,296.0345843436352
03-08-2021,296.16591584415363
04-08-2021,296.3342548011191
05-08-2021,296.48898184483375
06-08-2021,296.6487155601799
09-08-2021,296.8066077444816
10-08-2021,296.96517727230355
11-08-2021,297.123497662732
12-08-2021,297.28190968973627
13-08-2021,297.44028801139467
16-08-2021,297.5986787303991
17-08-2021,297.7570648894685
18-08-2021,297.9154527257523
19-08-2021,298.07383994513077
20-08-2021,298.23222739141653
23-08-2021,298.3906147542423
24-08-2021,298.5490021477659
25-08-2021,298.7073895299984
26-08-2021,298.86577691638394
27-08-2021,299.0241643012419
30-08-2021,299.1825516866618
31-08-2021,299.34093907187497
01-09-2021,299.49932645716416
02-09-2021,299.6577138424254
03-09-2021,299.8161012276969
07-09-2021,299.97448861296465
08-09-2021,300.13287599823377
09-09-2021,300.2912633835024
10-09-2021,300.44965076877116
